X,Y,FID,NAME,CLASS,ST,STFIPS,PLACEFIPS,CAPITAL,POP_CLASS,POPULATION,POP2010,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC
-122.176301416,47.6120857450001,2473,Bellevue,city,WA,53,5305210, ,8,142203,122363,76547,2815,452,33743,229,8545,3746,4831,61330,61033,6902,7274,7200,6927,6942,20140,17535,18446,13936,8750,5654,2657,38.4,36.4,40.5,50355,2.41,9076,9028,12017,14613,774,2220,32145,2.97,55551,5196,29540,20815
-122.468126472,48.753442471,2474,Bellingham,city,WA,53,5305280, ,7,86960,80885,68652,1068,1088,4135,214,5665,2244,3484,39484,41401,3736,3476,3338,7179,13935,12393,8621,8765,9058,4933,3404,2047,31.5,30.3,32.7,34671,2.18,8540,9888,4476,7366,671,2042,16129,2.79,36760,2089,15838,18833
-122.18568625,47.1752808250001,2475,Bonney Lake,city,WA,53,5307170, ,6,20049,17374,15427,223,175,417,43,1063,307,782,8738,8636,1389,1380,1317,1365,851,2496,2854,2809,1797,683,304,129,34.6,34.5,34.7,5989,2.89,774,540,1934,1719,259,431,4632,3.2,6394,405,4897,1092
-122.205705579,47.782505906,2476,Bothell,city,WA,53,5307380, ,6,38485,33505,26699,521,191,3407,59,2911,1132,1496,16361,17144,2104,2017,2011,2149,1932,4947,4866,5275,4140,2013,1248,803,38.2,36.9,39.7,13497,2.46,2095,2577,3239,3761,308,730,8779,3,14255,758,8843,4654
-122.2390645,47.8133729910001,2477,Bothell West,Census Designated Place,WA,53,5307395, ,6,19417,16607,12799,337,123,2111,46,1201,444,747,8165,8442,1291,1143,1121,1072,824,2435,2817,2631,1759,838,491,185,36.4,36,36.8,6123,2.7,833,870,1837,1740,168,330,4401,3.14,6417,294,4942,1181
-122.630494083,47.5694795090001,2478,Bremerton,city,WA,53,5307695, ,6,41050,37729,27922,2514,772,2087,484,3612,1066,2884,20017,17712,2626,1964,1668,2208,5306,6706,4257,4694,3828,2136,1366,970,32.1,30.1,34.8,14932,2.24,3631,3356,2123,3020,505,1386,7853,2.93,17273,2341,6380,8552
-122.243697,47.4904880070001,2479,Bryn Mawr-Skyway,Census Designated Place,WA,53,5308552, ,6,17218,15645,4638,4913,132,4239,132,1208,461,1130,7577,8068,1158,1039,975,1004,963,2166,2153,2230,2026,937,629,365,37.4,36.9,37.9,5772,2.69,968,1045,1006,1327,180,737,3742,3.31,6189,417,3512,2260
-122.339105057,47.476211436,2480,Burien,city,WA,53,5308850, ,7,52103,33313,21158,1960,513,3304,591,6902,3827,1960,16768,16545,2260,1973,1913,2138,2001,4702,4655,5134,4284,2283,1331,639,38.5,37.6,39.4,13253,2.49,2591,2594,2499,3130,455,972,8013,3.12,14322,1069,7248,6005
-122.397379448,45.586246869,2481,Camas,city,WA,53,5309480, ,6,21733,19355,16910,198,123,1160,43,790,223,698,9601,9754,1393,1752,1831,1488,793,1888,3345,3064,2108,1069,448,176,36.7,36.3,37,6619,2.91,654,704,2424,1922,211,426,5241,3.27,7072,453,5106,1513
-122.969263299,46.722574858,2482,Centralia,city,WA,53,5311160, ,6,16775,16336,13901,106,234,163,50,2634,1206,676,7897,8439,1301,1124,1022,1079,1248,2433,1763,1954,1694,1106,1001,611,34.8,33.1,37,6640,2.41,1231,1509,1095,1405,264,706,3867,3.06,7265,625,3471,3169
